date,value
2019-01-01,189.00000
2019-02-01,100.00000
2019-03-01,129.00000
2019-04-01,158.00000
2019-05-01,130.00000
2019-06-01,94.00000
2019-07-01,134.00000
2019-08-01,168.00000
2019-09-01,98.00000
2019-10-01,83.00000
2019-11-01,103.00000
2019-12-01,-12.00000
2020-01-01,117.00000
2020-02-01,90.00000
2020-03-01,141.00000
2020-04-01,79.00000
2020-05-01,104.00000
2020-06-01,26.00000
2020-07-01,86.00000
2020-08-01,71.00000
2020-09-01,75.00000
2020-10-01,104.00000
2020-11-01,84.00000
2020-12-01,2.00000
2021-01-01,140.00000
2021-02-01,130.00000
2021-03-01,179.00000
2021-04-01,148.00000
2021-05-01,146.00000
2021-06-01,132.00000
2021-07-01,152.00000
2021-08-01,169.00000
2021-09-01,127.00000
2021-10-01,184.00000
2021-11-01,270.00000
2021-12-01,44.00000
2022-01-01,333.00000
2022-02-01,85.00000
2022-03-01,268.00000
2022-04-01,297.00000
2022-05-01,411.00000
2022-06-01,291.00000
2022-07-01,446.00000
2022-08-01,542.00000
2022-09-01,514.00000
2022-10-01,684.00000
2022-11-01,657.00000
2022-12-01,673.00000
2023-01-01,767.00000
2023-02-01,668.00000
2023-03-01,784.00000
2023-04-01,978.00000
2023-05-01,1223.00000
2023-06-01,1855.00000
2023-07-01,1485.00000
2023-08-01,1460.00000
2023-09-01,1273.00000
2023-10-01,1558.00000
2023-11-01,1321.00000
2023-12-01,863.00000
2024-01-01,1449.00000
2024-02-01,1372.00000
2024-03-01,1733.00000
2024-04-01,1876.00000
2024-05-01,1901.00000
2024-06-01,1597.00000
2024-07-01,1846.00000
2024-08-01,1888.00000
2024-09-01,1622.00000
2024-10-01,2032.00000
2024-11-01,2064.00000
2024-12-01,1816.00000
2025-01-01,2051.00000
2025-02-01,2065.00000
2025-03-01,2396.00000
2025-04-01,2934.00000
2025-05-01,2698.00000
2025-06-01,2252.00000
2025-07-01,2987.00000
2025-08-01,2877.00000
2025-09-01,2555.00000
2025-10-01,2952.00000
2025-11-01,2917.00000
2025-12-01,2544.00000
2026-01-01,2744.00000
2026-02-01,2490.00000
2026-03-01,2817.00000
2026-04-01,3091.00000
2026-05-01,3462.00000
2026-06-01,3472.00000
2026-07-01,3812.00000
